COMMON	ATG9A	BECN1	CUL4A	DDB1	DDB2	ERCC2	ERCC3	ERCC4	ERCC5	PIK3C3	PRKDC	XPA	XPC	XRCC5	XRCC6
TCGA-ER-A193-06	0.1661	-0.4604	-0.2237	-0.0175	-0.3433	0.0716	0.0737	-2.1624	-0.4051	-1.0471	0.4185	-0.5463	1.0552	0.4617	0.1533
TCGA-DA-A95W-06	-0.2831	-0.7209	2.5176	-0.5715	2.3697	0.4881	-1.7918	-0.8490	0.6918	-0.2427	2.0264	0.2507	0.6999	-0.4886	0.0577
TCGA-D3-A1Q3-06	-0.1598	0.8477	1.6390	-0.5455	-0.6989	-0.4148	-0.4975	0.4000	0.4671	-0.4535	-0.0483	0.7291	0.2028	-0.2143	-1.1442
TCGA-EE-A3AF-06	-0.7319	-0.4664	3.1342	1.1311	2.9890	1.5130	-1.9975	-0.6363	0.0702	-0.6267	0.6346	-1.5791	0.7957	-1.5957	0.7717
TCGA-BF-AAP4-01	-0.3711	2.0165	-0.6160	-0.2281	-0.5030	-0.4549	1.6732	0.1131	-1.3414	0.0928	-0.2539	-0.5708	-0.7402	-0.6309	2.4214
TCGA-FS-A1ZG-06	0.8760	-0.2925	0.1053	1.7246	-1.0422	-0.4330	0.1702	1.4273	-0.4443	-0.3713	0.6576	-0.9410	-0.0039	1.5245	-2.6934
TCGA-ER-A19S-06	-0.6256	-0.8255	-0.0082	-0.7945	-0.5026	-0.9968	-0.1467	0.3554	1.7047	5.6212	0.3238	0.9631	-0.7481	0.1812	-1.0558
TCGA-D3-A1Q5-06	-0.4203	-1.2692	-0.1350	-1.1987	-1.3431	-0.4745	0.6022	-1.4919	0.4295	3.5299	-0.0085	-0.1832	0.2828	-0.8807	-1.0638
TCGA-EE-A3JE-06	-1.5043	1.3716	-0.4000	-0.8136	0.2747	-1.0070	-1.5618	1.0357	0.4582	0.2540	-0.5037	0.6210	0.1872	-0.9424	-0.1599
TCGA-EE-A2GS-06	-0.1741	0.2884	-0.2749	0.1467	-0.9286	2.6448	-0.2219	0.1900	-0.6009	0.7267	1.9382	-0.6335	-0.1202	0.8416	1.8360
TCGA-D9-A6EC-06	0.2379	0.1142	0.4795	0.0490	-0.8902	1.4759	-0.4014	-1.4258	-0.5311	-1.1571	-0.8672	1.0419	-0.6300	-0.1481	1.3054
TCGA-BF-A5EQ-01	0.2042	-0.5440	0.5680	-0.4559	-0.0877	-0.0381	-0.4416	0.0202	-0.7540	-0.6624	-0.2874	-0.1918	0.7045	0.2146	5.9029
TCGA-EE-A3AB-06	-0.3601	0.2082	-0.2160	-1.3114	-1.0075	-1.1511	0.7777	-0.3823	-0.9623	0.1747	2.0702	-1.4214	0.4172	-0.1046	-0.3274
TCGA-XV-A9VZ-01	0.0543	-0.3318	1.1539	-0.6356	1.9751	-0.0414	0.3322	-0.4328	2.1446	-0.8566	-0.8560	0.2754	1.8230	1.4083	-0.2331
TCGA-DA-A95X-06	0.3309	-1.0293	-1.3885	-0.3747	-1.1299	-0.6844	0.9367	0.8203	-1.5056	-1.1510	0.5760	0.4879	-0.2526	0.1832	-2.1640
TCGA-EB-A6R0-01	-1.2633	-0.2816	0.6387	-0.1766	0.2796	0.3180	-1.5034	2.0559	0.2842	0.7322	0.4855	-0.1152	2.1973	-1.7756	-1.7465
TCGA-FS-A1ZK-06	-0.2616	-0.3787	-0.2401	-0.3374	0.2260	-0.6378	-1.4437	0.1034	-1.0193	-0.1280	1.7399	-1.1793	-0.4020	-0.8330	-1.2474
TCGA-EE-A2M7-06	0.5478	0.8954	-0.2479	-0.3549	-1.2658	-0.1328	1.0350	1.1753	0.5499	-0.2876	0.3366	0.2493	-0.2388	0.5510	-0.5626
TCGA-D3-A2JG-06	0.5935	-1.1411	0.0580	0.5079	-1.5772	-0.4307	-0.3050	-0.8740	0.4537	1.6824	0.6814	0.0533	-1.6467	1.7710	0.6245
TCGA-ER-A19F-06	0.2069	0.3130	0.6036	0.8826	0.4304	0.0786	0.6719	1.1610	-0.0011	-0.3827	0.7551	-1.2973	0.4512	0.2810	-0.0768
TCGA-EE-A2MK-06	-1.0128	0.1438	-0.3633	-0.2460	-1.3840	-0.0854	-0.6800	-0.1287	-0.2081	-0.2601	-0.7242	-0.0081	0.8143	-0.8852	0.2666
TCGA-XV-A9W2-01	0.0477	1.1112	0.3847	-1.2388	-0.3078	-0.8194	-0.0055	-1.7053	0.1352	-1.1033	-0.0528	1.1746	-1.4387	0.7279	5.8633
TCGA-ER-A195-06	1.5145	-0.7912	-0.0151	-0.4566	-0.5760	-0.3285	-0.2470	0.3551	0.4501	-0.7545	0.4901	-0.0301	-1.0770	-0.6159	-0.5931
TCGA-ER-A42H-01	-0.6503	-1.5685	0.1155	-0.1803	-0.9501	-0.3799	0.7416	-1.2331	0.3008	-0.8497	1.0999	-0.5884	-1.0440	-0.2528	0.2639
TCGA-D3-A51E-06	-0.7947	-0.0842	0.4040	-1.4230	-0.4606	-0.1864	-0.6489	0.3756	-0.0030	0.9903	0.5597	-0.2858	-0.1290	-0.8883	-0.3928
TCGA-D3-A3C3-06	-0.3647	-0.8729	1.4300	0.1853	-0.0170	-0.7523	-1.4577	-1.6050	0.2265	-0.7989	-0.2740	-0.0712	-0.3972	0.5878	0.1231
TCGA-D3-A1Q6-06	0.5658	1.0569	1.8848	-0.8519	-0.4327	-1.4572	1.3599	0.2287	6.2410	0.4025	-0.9046	1.2471	-0.1959	0.1779	-0.0509
TCGA-D3-A8GS-06	-0.8306	-0.4333	-1.9115	-1.0268	0.1840	-1.4214	-1.6652	-0.8666	-0.3165	-1.3817	-1.2146	0.1793	-0.8374	-1.1244	-1.1020
TCGA-D3-A2JK-06	4.9672	-1.7233	-2.4167	0.4665	3.4383	1.3750	-1.6747	-2.0835	-1.5203	-1.6104	-2.0377	-2.0695	-0.7131	-1.2610	0.9940
TCGA-EB-A4XL-01	0.8641	-0.6733	0.2896	1.0612	0.8070	-0.5022	0.5547	0.2241	1.1167	-0.5563	-0.7385	-0.4565	0.5647	-0.5546	-0.7994
TCGA-FS-A1ZS-06	0.0036	0.0298	0.5760	-0.3199	-0.1438	2.7194	1.0242	-0.1206	1.1641	-0.3293	1.3802	-1.0446	-0.8303	0.1145	-0.1016
TCGA-D3-A51K-06	-0.1554	-1.9279	-2.0960	-0.6249	1.1732	0.3138	-2.0079	-1.6077	-1.8378	-1.7118	-0.8872	-0.1386	-1.6013	-1.7203	2.7196
TCGA-FS-A1ZB-06	1.2821	-0.3856	0.5733	3.4381	1.9466	-0.3765	-0.8035	-0.6229	-0.5514	-0.7527	0.1759	-0.8672	0.6853	0.1803	0.2108
TCGA-D3-A51N-06	-0.8758	-0.0470	-1.2992	-1.3416	0.8539	-1.2440	-0.9874	-1.4422	-0.1063	0.5234	-2.0132	-0.2724	-0.0476	-1.2084	-1.6560
TCGA-D3-A2JD-06	1.3010	-0.9738	-0.9083	0.4894	0.2960	1.4790	3.8029	-1.1000	-0.9572	-1.3960	-1.2153	-1.4861	-0.8448	2.0106	2.9340
TCGA-D3-A1Q1-06	-0.7183	1.0830	3.2835	-0.3685	-1.4343	2.4912	1.0362	-0.8615	0.2934	-0.2512	9.3467	-0.9200	-0.4917	2.8383	2.4125
TCGA-ER-A19D-06	-0.4236	-1.0746	0.2083	-0.5896	-1.2462	0.1049	-0.0800	2.2322	0.2230	-0.0700	0.3247	-0.3529	-0.3732	1.1173	-1.3694
TCGA-EE-A2MQ-06	0.1814	-1.2673	-0.0862	-0.0563	-1.3401	-0.1334	-0.1092	0.2216	-0.3467	-0.2525	1.9402	-1.3641	-1.3153	1.0891	5.9498
TCGA-RP-A693-06	0.6697	1.3392	-1.0862	0.2119	-0.2095	-0.7061	-0.0024	0.3348	-0.6595	0.4764	0.7754	-0.4344	1.0262	-0.7397	-1.3610
TCGA-DA-A1IC-06	0.3896	0.6383	-1.8275	-0.3475	-1.0944	0.7752	0.5534	-0.2545	-1.5241	-1.3527	-0.1905	-0.9501	-0.5573	-1.1153	-0.9751
TCGA-RP-A690-06	0.4915	1.7803	0.4430	6.9939	0.9712	0.3093	0.2448	-0.5512	1.0292	-0.5005	-1.5549	1.3996	1.3366	-0.6260	-0.1707
TCGA-FS-A4F5-06	1.1409	0.0744	-0.1997	-1.0033	-0.5371	-0.6901	2.2973	0.0582	-0.4551	-0.7804	0.6371	-0.9633	0.1763	0.1167	-0.4236
TCGA-FS-A4F4-06	0.0085	-0.0492	-1.4323	-0.9489	1.1515	1.1120	-0.2378	0.4812	-1.0572	-1.3278	0.5133	-0.8621	-0.0733	-1.0421	12.3305
TCGA-FR-A8YE-06	-0.5301	0.3073	-0.3527	-0.5473	0.1339	-0.9595	0.3256	0.5080	1.5022	0.7786	-0.4718	0.9427	0.8618	-1.1067	-1.0863
TCGA-EE-A2GJ-06	1.3332	-0.2582	-1.3279	-0.2812	-1.4232	0.1815	-0.4057	2.0911	-1.3923	-0.2849	1.6004	-0.9257	-0.7297	-0.0034	-0.7917
TCGA-WE-A8ZY-06	-0.8500	-0.5275	-1.1628	-0.3485	0.0716	0.6017	1.7128	0.6231	-1.0213	-0.4684	-0.4691	-1.4792	2.4151	-1.4159	1.3944
TCGA-EE-A2GK-06	-1.0656	-0.3528	-0.6001	-0.9335	-0.2861	-0.7290	-0.1128	-0.0015	3.3475	-0.5667	-0.4930	1.7272	0.5494	-0.0957	-0.1459
TCGA-RP-A694-06	0.1932	1.1302	0.6559	-0.0964	-0.3626	0.3932	0.0774	0.1477	-0.7606	-0.0275	1.0207	0.6170	0.0411	-0.0536	2.1363
TCGA-WE-A8ZX-06	0.5445	-1.5511	3.0355	0.2125	-1.1559	0.2875	0.8372	-1.2605	1.6926	0.8254	1.7897	-0.2602	-1.6263	1.9957	1.1208
TCGA-EE-A2MJ-06	-0.1048	-0.7277	-0.2936	-0.6761	-0.3235	0.6401	-1.5288	1.2638	-0.2348	-0.8547	-0.9965	-0.8691	-0.7978	-1.4747	1.2004
TCGA-D3-A1Q7-06	-0.8269	-0.4404	-0.9445	-0.4356	-0.4287	-0.8841	-0.1803	0.6242	-0.1013	0.0990	1.3844	-0.0014	-0.8512	0.8848	-0.8372
TCGA-D3-A51T-06	-1.6036	1.8471	4.8113	2.1419	-1.1417	0.2326	-0.7944	0.0823	3.5942	0.3051	0.1234	-1.0747	1.3725	-1.5794	3.8072
TCGA-D3-A3CB-06	-0.2661	0.3763	-0.9837	0.0571	1.3707	-0.3374	-0.6562	0.1649	0.0018	0.1528	0.8775	-0.0852	0.7027	-0.4045	-1.0754
TCGA-FR-A726-01	2.0983	0.2426	-0.8203	-0.7142	-0.5439	0.8248	1.1506	-0.2087	-1.4443	-0.1452	0.5789	1.1084	0.4402	0.5361	-0.1689
TCGA-EE-A2MS-06	-0.5975	1.0480	-2.4474	-0.3133	-1.2464	0.2636	1.4873	0.8686	-0.8110	-0.3898	-0.1009	-0.9843	-0.2957	-1.1893	2.5021
TCGA-EE-A2GP-06	-0.3155	-0.9902	1.7992	0.1361	-1.1441	-0.7152	0.2021	-0.1405	-0.4840	-0.8319	1.6159	-0.6053	-0.2845	-0.2088	-1.7813
TCGA-EE-A2MM-06	1.1676	0.3854	0.5699	-0.6262	-1.1810	0.9289	1.9561	0.5823	1.0066	0.7634	-0.4293	0.5876	-0.2244	-0.1568	-2.1024
TCGA-ER-A19C-06	-0.8167	0.4429	1.1445	-0.2105	-0.5079	-0.7764	-1.7483	5.3352	0.4087	-1.0143	2.1537	-1.0869	-0.4643	-0.6002	7.3768
TCGA-YG-AA3P-06	-1.2489	-1.2367	-0.4332	-0.6855	-0.2680	-0.2154	-2.2903	-0.1456	-0.7965	0.3586	1.5149	1.5440	-0.6707	-1.2274	2.0246
TCGA-D3-A8GQ-06	0.6512	-0.8837	-0.3328	-0.2696	-0.4282	-0.4036	1.1459	-0.2812	-1.1394	-0.3388	0.2650	-0.3209	1.6175	2.6067	0.6508
TCGA-YG-AA3N-01	2.1669	0.3678	-0.4203	0.7505	0.7459	2.8610	-0.3544	-1.4194	-1.7722	-1.9258	-0.7265	-1.2899	-0.0479	-0.9718	-0.0321
TCGA-EB-A6QY-01	-1.0364	2.2419	-1.0540	-0.7994	-0.1320	-0.7388	0.4812	2.6918	0.1388	0.4801	-0.3274	0.0456	-1.1018	-0.1885	1.2453
TCGA-EE-A2MI-06	-0.8709	1.2501	-0.7766	-0.8622	0.0588	-0.5305	-0.8206	1.8135	-0.0678	0.0258	-0.4536	0.6022	1.6989	0.6397	-0.9555
TCGA-D3-A5GR-06	-0.6145	0.6260	54.0758	-1.0687	-1.0705	-0.1130	-0.2759	1.4309	-0.6798	-0.4471	0.3819	1.0917	0.1341	-0.6862	-0.4535
TCGA-EE-A2A0-06	-1.2786	0.8548	0.5625	-0.6323	1.4822	-1.2132	-0.4720	0.3766	1.1919	0.9724	0.0460	0.3827	0.5586	1.7542	-0.0657
TCGA-GF-A6C8-06	0.8459	1.7831	0.0670	-0.4131	-1.2557	0.6481	0.4372	-0.3155	-0.1226	0.1161	0.1048	0.6221	-1.9073	1.6484	1.7673
TCGA-D3-A51G-06	0.0078	-1.1526	0.5391	-1.0629	-1.3277	-0.6403	2.0905	1.4321	0.0392	1.3593	4.4873	-0.7118	-0.8512	1.7996	1.3417
TCGA-D3-A3MU-06	1.4717	-0.1684	-1.0658	1.1091	0.7092	1.7901	-0.4321	-0.2706	-0.0196	0.3565	1.1851	-0.6812	1.3426	-0.6945	1.6504
TCGA-D3-A8GI-06	4.5961	-1.3841	-0.8259	0.2131	-0.3884	5.8517	-1.7255	-1.7798	-1.7727	-1.9679	-0.7423	-1.6153	-1.2390	-1.2028	3.0580
TCGA-WE-A8ZQ-06	-0.9205	-0.4336	-2.5418	-0.5090	-0.4780	-0.5894	0.5967	0.9888	-2.0758	-0.3706	-0.0721	0.5441	-0.1557	-0.4716	-1.9661
TCGA-XV-AB01-01	3.7555	-1.4302	-1.3678	0.6804	-0.3697	3.3866	-2.5933	-1.4715	-1.0418	-0.9519	-0.9944	-1.7679	0.2584	-1.9841	28.8252
TCGA-YD-A9TB-06	-0.5846	0.1401	3.0161	-0.8978	-1.3374	-0.5297	-0.4887	0.7371	0.5799	-0.3770	-0.4302	0.1200	-0.8907	-1.0380	-0.2347
TCGA-D3-A3ML-06	1.7552	-0.1823	0.6776	3.0499	-0.5373	-0.1296	-0.6938	0.2651	-0.0684	0.2506	-0.1089	1.5316	0.7027	1.0040	-0.5469
TCGA-FS-A1ZA-06	0.9542	0.1490	-0.6590	-1.2663	-1.2259	-0.3409	2.6030	3.1641	-0.6850	0.4884	0.9586	-0.5906	0.5883	0.4867	0.6221
TCGA-EE-A29C-06	0.1892	-1.7527	1.3401	-0.3653	-0.6447	0.4975	0.3045	0.1691	-0.6025	-0.3649	1.4029	-1.0922	-1.2748	-1.1860	-0.4608
TCGA-D3-A3CF-06	-0.7399	0.3276	0.2645	-0.5211	0.8475	-0.5983	-0.2164	-0.2527	-0.0765	-0.3718	-0.2966	-0.1644	0.2270	0.6841	0.2213
TCGA-EE-A2GC-06	-1.1385	0.6112	0.6483	-0.6159	-1.2104	-0.8943	-0.6055	-0.3568	0.3047	0.2251	0.5170	-0.6467	0.3852	-0.1779	-0.2617
TCGA-BF-A5ES-01	2.2877	2.0196	0.3194	0.6274	1.3995	0.2882	-0.2720	-1.3803	-1.3045	-0.3670	-1.0086	-0.3322	-1.0063	0.1719	0.0443
TCGA-D9-A1JX-06	0.0239	0.8642	-0.3471	-1.2866	-1.1385	-0.4424	0.6971	1.2408	-0.2454	0.4869	0.0803	-0.4074	-0.1616	-0.6487	0.9980
TCGA-D3-A51H-06	-1.1688	-0.3975	-0.1908	-1.3596	0.2940	-0.9403	0.0513	-0.6457	2.9796	-1.1916	-1.1781	0.9823	-0.4168	-1.0331	-1.3191
TCGA-GF-A2C7-01	0.3030	1.8638	0.0402	-0.6704	-0.4657	0.4134	0.1140	0.5116	-0.0435	0.6299	2.6353	-0.6733	-0.0579	0.3360	0.3008
TCGA-D3-A3MV-06	0.8134	1.6261	-0.4621	-0.7054	0.1691	-0.5274	2.3012	-0.3708	0.0348	1.8027	2.2139	-0.5733	2.5070	2.2069	3.4435
TCGA-D3-A51F-06	-0.9304	-0.0598	-0.8581	-1.2717	0.3254	-0.5398	-0.6402	-0.1759	1.2260	-0.5062	-1.3754	0.1905	0.2635	-1.0798	-0.9261
TCGA-D3-A51J-06	-0.5571	0.0398	-0.5644	-0.5229	-0.2184	-0.3532	0.1598	-0.8114	-0.1043	-0.8350	0.6578	-0.9000	-0.0376	-0.3925	0.0391
TCGA-D3-A8GB-06	-0.6182	-0.9195	-1.7732	-0.8103	0.4500	-0.8099	-0.8474	-1.1480	0.3285	-0.7560	-1.6873	-0.6308	-0.8404	-1.2440	-0.4678
TCGA-EB-A1NK-01	1.0633	0.7344	0.8060	1.8389	2.7865	1.2424	-0.6695	-0.0203	-0.2592	-0.9181	0.6238	-0.1870	1.0688	0.0360	0.6850
TCGA-EB-A82C-01	0.8958	-1.1248	3.4179	1.2751	-0.0938	0.6738	-0.1058	-1.0166	0.5184	0.2446	-0.1477	-1.2530	-0.3857	0.4701	-0.7628
TCGA-GN-A269-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TCGA-WE-AAA3-06	0.2201	1.0582	0.2211	-1.0067	-0.8798	1.6291	-0.1859	1.9843	-0.6984	0.2897	-0.7198	-0.5649	-0.6819	-0.6717	3.7898
TCGA-BF-AAOX-01	1.9627	0.1267	1.0493	1.5958	-0.1785	0.7163	-0.0758	-0.9710	-0.6849	-0.2904	-0.3578	0.8102	-0.4742	0.1312	3.5339
TCGA-D3-A2J8-06	-0.0664	-0.8105	-1.4479	-0.8333	-0.2248	0.8859	-0.7261	-0.2761	-0.6005	-0.9190	-0.3622	0.6660	1.0210	-0.3701	-0.0482
TCGA-EE-A29S-06	1.9734	-0.0111	0.8131	0.4511	2.5325	0.1733	0.3819	0.0266	-0.1849	-0.6059	0.4758	-0.7713	1.4592	-0.0105	0.6142
TCGA-DA-A3F2-06	1.0610	-1.2444	-2.3527	-0.2153	0.3342	0.6894	-2.7985	-1.7439	-0.9815	-2.0132	-1.9486	-1.3978	-0.9096	-1.6723	0.2447
TCGA-WE-A8JZ-06	0.7240	7.8496	1.0820	-0.7849	2.9659	0.4498	2.5237	1.5292	0.1129	-0.2846	0.0559	-1.0271	1.2045	-0.3847	-2.0761
TCGA-D9-A148-06	1.7194	3.7618	-1.7257	0.6344	2.2957	0.2449	-0.8119	1.0217	-1.6322	-1.2755	-0.0633	-1.2505	0.6373	2.8030	2.2784
TCGA-DA-A3F8-06	-0.3308	0.9554	-0.5545	-0.7536	1.5643	-1.0937	-0.6613	0.1134	0.0295	0.2002	-1.2587	0.7940	0.8457	-0.4985	-0.9480
TCGA-D3-A2JC-06	0.0791	0.2180	-1.2468	-0.2722	-0.0518	-0.3775	1.3032	0.6777	-0.8378	-0.2897	0.2517	0.5185	-0.1610	0.5493	-0.4724
TCGA-DA-A1I0-06	-0.6518	-0.7258	-1.1188	0.0351	0.8545	1.2834	-1.0225	-1.8160	-1.3141	-1.1257	-1.3604	-1.9168	-0.7124	-1.3182	3.8485
TCGA-EE-A17Y-06	1.2891	1.6757	2.1302	-0.6052	-0.5590	0.2909	-0.1960	0.4052	0.2174	1.9270	2.1783	-1.2556	-1.2488	1.3808	4.7447
TCGA-EB-A4OZ-01	0.5861	-1.9304	-2.1949	-0.9277	1.3250	-0.1495	-1.6888	-1.9669	-0.3169	-2.0211	-2.1948	-1.8501	-1.2514	-1.8024	0.2692
TCGA-EE-A180-06	-0.3831	-0.2985	3.1400	0.0637	0.8233	-0.2502	-0.9548	-0.8642	1.6599	0.9376	0.6733	-1.2519	-0.0351	0.1827	1.0705
TCGA-EB-A44N-01	-0.0585	0.0284	-0.4743	-0.7233	-0.5166	-0.5915	-0.6202	0.2836	-0.0679	-0.1941	-0.5133	0.2929	-0.7112	-0.8272	-0.9450
TCGA-D3-A5GS-06	-0.2063	0.9633	-0.1681	-1.2737	1.1777	0.2168	0.7913	-0.0157	-0.4185	-0.1760	-0.4669	-0.3622	-0.1447	-0.2862	1.2789
TCGA-EB-A3XE-01	0.9563	0.3718	-1.5539	1.2695	3.2326	0.4891	-0.7008	-1.7137	-0.8754	-0.9240	-1.8738	-1.2630	0.5345	0.3865	1.6770
TCGA-EB-A41B-01	1.0760	0.0743	5.4859	-1.3446	1.0024	-0.4499	0.6187	-0.6903	2.3065	-0.8713	-1.5515	1.4040	-0.2857	-0.1360	-0.0872
TCGA-ER-A3ES-06	-0.9000	-0.7306	1.7170	4.0264	-1.4883	-0.9871	-0.5742	-0.6067	1.8186	0.2927	-1.2366	0.3172	1.0201	0.6873	0.2873
TCGA-WE-A8ZM-06	-0.4987	0.5854	-0.4244	-1.1234	-1.3163	-0.1112	1.4255	0.6838	-0.1679	2.5510	1.9833	0.1197	0.2097	-0.3505	0.7864
TCGA-FW-A3R5-06	-0.8755	-1.2099	0.5973	-0.1331	-1.3921	-0.1710	-0.4601	-0.5451	-0.4826	-0.0235	0.1379	0.3256	-0.9107	1.1955	0.5305
TCGA-BF-AAP0-06	-0.4885	-0.3260	-1.4544	-0.0967	0.1769	-0.4073	1.7526	-0.7888	-0.7303	-1.1401	-0.6055	-1.0935	-1.0565	-0.4246	-0.0921
TCGA-GN-A26C-01	0.6535	-0.6157	-2.1295	-1.2023	-0.9385	-0.4208	1.3895	-0.8208	-1.3642	-1.1944	-1.0671	-0.0377	0.1737	0.4597	0.5708
TCGA-BF-AAP2-01	0.7912	1.1336	0.1441	-0.1970	0.2466	-0.3228	1.1884	-0.7244	0.2571	-0.7824	-0.9995	1.2640	0.3251	-0.3642	-0.0739
TCGA-FS-A1ZY-06	0.2996	-1.0396	0.4910	1.2082	-0.2373	2.6905	-0.3350	-0.1011	-0.3904	-0.8284	2.5960	-1.7294	-0.2295	1.2559	6.8537
TCGA-GN-A8LN-01	-0.8595	0.0313	0.9291	-1.1497	-0.6550	-0.8887	2.0743	-0.2132	0.1428	-0.3047	-0.1289	-0.2484	0.6621	-0.2523	3.5021
TCGA-D9-A4Z6-06	0.7950	0.0398	0.6627	0.3934	-1.4375	1.0510	2.5558	0.7296	-0.6226	2.8764	0.0816	0.5172	-0.8861	0.9445	0.2580
TCGA-FR-A3R1-01	-0.2574	0.0760	0.4064	0.7618	1.8330	-0.8568	-0.0085	0.0620	0.4845	1.2084	-0.0747	-0.0456	1.2826	0.3437	-0.1136
TCGA-FS-A1Z0-06	-1.0807	-0.8947	1.8896	-0.4315	-0.8576	-0.0412	-0.6679	0.1495	1.5337	1.4852	5.2862	1.1798	0.4315	1.3509	0.4063
TCGA-D9-A4Z6-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TCGA-EE-A29V-06	0.8236	2.7704	0.0747	1.9713	-1.2420	3.6326	-0.0034	-0.8507	-0.3344	-1.6597	1.1869	-1.0717	-1.4804	0.7818	2.3515
TCGA-EB-A51B-01	-0.0719	-0.4324	2.9096	-0.8043	1.2260	-0.3592	-0.1949	0.3470	0.2414	-0.5451	-0.0477	0.4955	2.2468	0.0000	-1.2492
TCGA-FW-A5DY-06	-0.0855	0.2658	0.2996	-0.7768	0.3538	-0.2724	-0.2246	0.2713	0.8417	0.3659	-0.5194	0.1628	0.2450	-0.3209	-0.9684
TCGA-D3-A8GK-06	0.4601	-0.8094	-0.6096	0.4453	0.1695	1.2063	0.9419	-0.5836	-1.3388	-1.2101	0.6191	-1.3159	-1.2466	-0.3224	-0.0972
TCGA-EE-A3AH-06	0.6717	1.5750	-2.1908	-0.2013	-0.5424	-0.5034	1.0269	1.0803	-1.7870	-0.6851	0.6109	0.2034	0.6598	-0.1705	0.4814
TCGA-Z2-A8RT-06	-0.2823	0.8841	2.5667	-1.4722	-1.1139	0.1564	1.0669	-1.0256	1.7420	-0.3699	-0.7543	2.2373	-0.0191	-0.4178	0.3204
TCGA-GF-A769-01	0.3300	0.9741	-0.3368	-0.8483	0.8908	-0.0692	1.5825	-0.8075	-0.1031	-0.6276	-0.2703	1.3578	-0.1543	0.9830	1.5501
TCGA-EE-A29W-06	0.6191	0.1920	-0.8278	-0.2899	-0.7025	-0.4457	0.6222	0.5328	-0.9091	-0.8018	1.7232	0.1529	0.0743	1.8928	-0.1755
TCGA-DA-A1I1-06	-0.0271	-0.1621	0.2206	-0.2781	-1.3250	-0.3928	-0.7142	0.2854	-0.3625	1.0379	1.0195	-1.2112	0.2899	-0.6271	0.4587
TCGA-D3-A2J9-06	-0.6497	-0.7249	-0.2146	-0.7208	-0.5070	-0.4820	-0.6333	0.4373	1.2679	1.1983	-0.8413	0.6736	-0.0011	-0.4474	-0.8434
TCGA-EE-A20C-06	0.1194	0.8777	-0.3326	0.6176	0.3914	-0.6107	-0.7753	-0.4173	0.3473	-0.4341	-1.8318	0.4921	-0.4286	-0.5644	-0.9342
TCGA-D3-A3C8-06	-1.1486	-0.4378	-1.3657	-1.4231	-0.5210	-0.7189	-1.0187	-1.5240	0.7362	-0.9824	-1.0162	-0.2996	-0.6740	-0.1975	-0.2030
TCGA-BF-AAP6-01	-0.8367	-0.3389	4.2688	1.3746	2.0654	-0.0775	-0.0711	-0.2587	-1.2946	-0.1635	0.6630	-0.9871	0.6598	0.2076	-0.4672
TCGA-BF-AAOU-01	-0.8183	1.7849	-0.4679	-1.2993	-0.1488	-0.1025	0.6181	-0.1404	0.3394	-0.2838	-0.7737	1.5505	1.1879	0.3186	0.3752
TCGA-BF-A3DM-01	1.3386	2.8131	-0.1496	-0.2369	-0.0515	-0.8936	-0.0717	-0.1863	-0.8365	0.6244	0.1437	-0.9744	-0.6562	1.4623	0.3870
TCGA-EB-A4IQ-01	1.7913	-0.7506	-0.3021	1.4086	0.1316	1.1894	-0.0099	-0.5302	-1.1865	-1.3947	1.4072	-0.9308	-1.5230	-0.0784	0.4492
TCGA-DA-A960-01	0.3152	-1.0450	-0.5545	-0.6698	-0.1436	0.5715	0.0251	-1.1883	-0.7636	-1.5637	-1.8497	-0.3851	-0.7148	-0.8168	-0.1229
TCGA-BF-AAP8-01	0.0047	-1.6155	0.3892	-0.8604	-0.7016	-0.6914	-2.1307	-0.7172	0.3272	-0.7551	1.8958	1.0412	-1.5663	1.3105	-1.1915
TCGA-FS-A4FB-06	-0.2018	0.5284	-0.5076	-0.3589	-0.0964	-0.1917	-0.2013	0.4880	-0.2098	-0.2226	1.6184	-0.7164	-0.6444	-0.0492	-0.0400
TCGA-EB-A44Q-06	-0.5147	-0.6466	0.9937	-1.3066	-0.5978	-0.4646	-0.4534	-0.2371	-0.0244	0.6149	0.0418	-0.0013	-0.2749	-0.5355	-1.1489
TCGA-ER-A19W-06	-1.3690	0.3396	0.0184	-1.2707	0.9201	-0.2953	-1.3045	0.5216	0.2425	-0.7268	0.5038	-0.6602	-0.6700	-0.8575	3.9893
TCGA-DA-A3F5-06	0.2876	-0.6244	-0.2197	-0.8344	0.3470	-0.7891	1.2025	-0.4410	-1.0605	-0.8398	3.4324	-1.0784	-0.2002	0.3677	3.0997
TCGA-EE-A2A1-06	0.0059	-0.4214	-0.5666	-0.1214	-0.3062	-0.2808	0.7462	0.8995	-0.3515	-0.1200	-0.3961	-0.0287	0.0226	0.3642	-0.6094
TCGA-D3-A2J6-06	0.2013	-1.6602	4.7820	-0.1788	-0.3948	-0.5591	-0.1482	-0.3237	0.7676	-0.0873	0.3302	-0.9734	-0.9441	1.0193	0.2241
