COMMON	ATG9A	BECN1	CUL4A	DDB1	DDB2	ERCC2	ERCC3	ERCC4	ERCC5	PIK3C3	PRKDC	XPA	XPC	XRCC5	XRCC6
TCGA-W3-A828-06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TCGA-D3-A5GO-06	1.5019	0.9232	0.5140	-0.0681	-1.0546	-0.6802	0.8219	-0.9842	0.0031	-0.5726	-1.1280	-1.1082	-0.8102	-0.2051	-1.9855
TCGA-FS-A1ZH-06	-0.1130	-0.7480	-1.0540	-0.9076	-0.8245	-0.9499	1.5679	0.6012	-0.1280	1.1126	0.2983	-0.4583	0.8252	0.8043	0.1181
TCGA-YG-AA3O-06	-1.5305	-0.0250	1.3355	-0.6253	0.5363	0.0491	1.0948	0.6451	-0.4936	0.5037	1.6958	-1.1066	1.2897	-0.9170	0.7975
TCGA-EE-A3JD-06	-1.5706	0.8807	-0.1838	-0.6434	-1.0591	-1.0730	-0.7296	0.7237	1.6847	0.8425	-0.0177	0.8294	-0.4473	-0.0570	3.4173
TCGA-D9-A6EG-06	-1.6041	0.4038	2.7993	-0.0037	0.4803	-0.7429	0.1031	0.9543	-0.3594	1.0889	1.7072	-0.4415	0.9237	0.9672	-0.0111
TCGA-D3-A8GJ-06	-0.6418	-1.1075	-0.1526	-1.0826	-0.6721	-0.6157	-0.2438	-0.1996	0.4885	0.3874	-0.5486	-0.6143	-0.3644	0.0272	0.8448
TCGA-GN-A9SD-06	-0.0776	1.2686	-1.0849	-0.7473	-0.6561	-0.4302	1.0485	-0.1834	-0.5325	-1.2196	-0.6783	0.5554	-0.3027	-0.1538	-0.3776
TCGA-HR-A2OH-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TCGA-W3-AA21-06	-0.4824	-1.5634	-1.0237	-0.7559	1.4190	-0.4611	-1.6435	-1.4762	-0.2256	-0.8634	-0.6757	-0.5124	-1.5114	-1.4487	0.2237
TCGA-EB-A41A-01	0.2998	-0.2193	1.1163	-0.1431	-0.2544	-0.6621	2.0224	-1.1245	0.2130	0.1481	-1.2268	1.5151	1.6042	0.3072	-2.4904
TCGA-EE-A3AG-06	-0.0996	1.4843	1.7279	-0.2895	-1.0930	-0.6053	2.9381	0.4953	1.0324	2.8550	2.1457	-0.7112	-0.3789	1.1711	7.1732
TCGA-EE-A3JB-06	0.0030	-0.9095	-1.1617	-0.4053	0.0217	-0.2764	2.1516	2.1238	-1.0774	1.7266	2.7610	-0.8205	-1.2668	2.3023	3.6039
TCGA-FR-A3YN-06	0.1367	5.3244	-0.9459	-0.2113	-0.3219	-0.5805	3.5241	0.7235	-0.7327	0.7231	-0.3234	-0.8527	0.4164	1.9600	0.1935
TCGA-GN-A263-01	-1.7601	2.8303	1.1875	0.1276	-0.1854	-1.6703	-0.5915	-0.4327	3.7664	2.4452	-0.9431	0.8148	-1.3539	2.9481	-0.9215
TCGA-D3-A2JP-06	-0.4257	-0.3693	-0.6525	0.1714	-0.4178	-0.9909	-0.5717	-1.6169	0.1725	0.9220	-0.1151	-0.0184	-1.0129	-0.2218	0.4745
TCGA-HR-A2OH-06	-0.9577	0.1873	-0.3632	-1.1315	-0.8028	-0.1944	-1.0933	0.3465	0.4340	2.2492	0.7033	-0.8575	-0.3100	-0.7844	0.8406
TCGA-BF-A5ER-01	3.2672	-0.5473	-2.1564	3.1859	3.4176	3.9008	-1.2366	-1.6927	-1.5829	-1.3808	1.3632	-1.6717	-0.3429	-0.6839	1.0728
TCGA-FR-A7UA-06	-1.1359	0.1835	-1.1507	-1.2157	-0.0515	-0.8890	-0.5116	-0.0980	1.2951	-0.3385	-1.0444	0.6663	-0.2756	-1.2006	-0.1433
TCGA-HR-A2OG-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TCGA-D3-A51R-06	-0.6970	-1.9891	0.4097	0.0072	-1.3113	-0.2557	2.0986	-0.3651	0.2074	0.7915	3.4991	1.0120	0.4953	3.8580	0.7931
TCGA-EB-A553-01	-1.3377	-2.0398	-2.3893	-1.1691	0.1874	0.6067	0.2287	-1.5796	-0.9906	-1.4549	-2.2453	-1.4454	-1.3660	-1.4302	-0.3719
TCGA-EB-A299-01	-0.2169	0.2963	0.5611	-0.7692	0.5140	-0.6305	-0.0869	-0.9149	2.2631	-1.3036	-1.3186	0.0463	-0.5085	-0.8624	-0.8321
TCGA-HR-A2OG-06	-1.5967	0.6986	0.3643	-0.6460	-0.8045	-0.6886	-1.2359	-0.0675	0.5200	0.3215	-1.1502	-0.5063	1.4063	-0.9599	-0.8977
TCGA-EE-A3AD-06	-0.1065	-0.3817	1.3720	0.3284	-0.8297	-1.1332	1.6671	2.9130	0.4158	-0.1963	2.6615	-0.3947	0.9169	-0.4404	0.3646
TCGA-FS-A1Z4-06	0.3331	-1.1738	1.0034	-0.4766	-1.0353	0.2669	0.6074	0.6948	0.1936	0.8213	2.1998	0.9993	-1.0016	1.3101	-0.2856
TCGA-ER-A19N-06	0.8461	-1.1464	1.0731	0.0063	-0.5221	0.1727	0.6092	0.2780	-0.2151	-0.2970	0.1310	-0.4226	-0.9116	-0.0515	-0.5125
TCGA-D9-A1X3-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TCGA-EB-A5VV-06	-1.4001	-0.5327	-0.1957	-1.2908	0.0974	-1.0758	0.3324	-0.5698	4.5879	-0.6027	-1.3506	2.9036	0.4423	-0.8635	-1.0463
TCGA-EB-A3HV-01	1.3595	0.8711	-0.5995	0.7834	0.8425	0.5117	-0.0457	-0.7494	-0.0216	-0.1535	-0.0128	-0.9756	0.4405	0.2831	0.5786
TCGA-WE-AAA0-06	-0.0805	0.6256	0.4357	0.0323	-0.9439	-0.1324	-0.1835	-0.6108	0.3634	-0.1059	-0.9647	0.7769	-0.2071	-0.6419	-0.4296
TCGA-ER-A194-01	4.0964	-1.1796	-1.9415	2.0223	2.1292	1.7225	-2.2068	-1.9086	-0.8350	-1.5329	-1.9190	-1.2324	-0.6369	-1.0762	2.3799
TCGA-EE-A2MU-06	0.0148	-0.4649	-1.3812	-0.2203	-0.9390	0.9483	0.6349	-0.5158	-1.0747	-0.9832	-0.7696	-0.7915	-0.8360	0.5248	2.4904
TCGA-D3-A1Q4-06	-0.3841	2.7998	-0.0221	-0.5206	-0.1416	0.1912	-1.0720	-0.1543	0.4639	0.6489	0.2409	1.1398	-0.7803	0.5905	0.1997
TCGA-WE-A8ZN-06	1.0736	-1.6432	-1.5439	2.0635	2.2653	-0.5382	-1.6726	-1.7621	-0.6504	-1.9200	-2.0703	-0.9974	-1.4472	-1.3798	0.2387
TCGA-FS-A4F0-06	0.4280	0.7656	0.8751	-0.3804	1.6342	0.1113	1.8814	-0.4945	1.6976	0.8645	-0.6091	-0.4121	-0.6651	-0.9385	-2.8052
TCGA-EE-A2MN-06	0.6297	-0.4127	0.9520	-0.9086	-1.3103	-0.7261	-0.4019	0.7803	-0.1579	-0.2387	0.6334	-0.8740	0.3449	-0.3620	4.8490
TCGA-D3-A3MO-06	-0.1608	0.0629	-0.1987	-0.9011	-1.2458	-0.5771	-0.5670	-0.1968	-0.4597	-0.0411	0.5481	0.1774	-0.5569	0.5876	2.2870
TCGA-FS-A1Z7-06	0.0249	0.9220	0.3132	-1.2713	-0.1666	-0.5683	-0.2757	0.1366	-0.0097	-0.0875	0.5232	0.0567	-0.3945	-0.5242	-0.4698
TCGA-EE-A29H-06	0.3069	-1.0780	0.2028	1.6094	0.5818	-0.5071	0.5586	0.6276	-0.2461	-0.0350	0.9721	-0.1135	2.5764	0.0568	0.7117
TCGA-EE-A20F-06	-1.3079	0.4766	1.0894	0.2970	0.2377	-0.9861	0.4960	-0.2664	0.7061	1.0277	0.6652	-0.9360	-1.3075	-1.1094	1.5084
TCGA-WE-A8ZR-06	-0.9391	-0.3302	2.2437	-0.7447	-0.8097	0.7573	-0.2581	0.8397	-0.1628	-1.2594	0.6411	-0.4994	-1.1634	-0.1770	1.5241
TCGA-EE-A29L-06	-0.1897	0.7985	-0.3489	-0.9552	-1.6297	1.2336	0.9435	1.2330	-1.0379	1.5193	0.9061	-0.2595	0.0107	-0.1107	5.9401
TCGA-D3-A2JB-06	-0.6751	0.3087	0.9988	-1.0984	0.1872	0.1312	-0.2113	-0.2997	1.4368	-0.7009	-0.7074	0.6155	-0.2306	0.0033	1.4189
TCGA-WE-A8ZT-06	-0.1230	4.5183	-1.6098	0.9382	0.8305	-0.1099	0.7504	0.4013	0.2401	0.5774	0.1950	1.2818	2.9704	1.4558	-0.7532
TCGA-ER-A2NG-06	-0.8528	0.2163	-0.9647	-0.4935	0.3526	0.6199	-0.3302	1.4865	-1.3073	0.1875	0.4616	-0.2375	-0.0921	-0.2882	2.5762
TCGA-D3-A8GN-06	0.4084	2.6096	0.2564	-1.0830	-0.1544	0.3295	0.6831	-0.4104	1.4558	-0.7820	-1.1002	0.2248	0.6858	0.1641	-0.7217
TCGA-D9-A3Z1-06	-0.6571	1.4742	1.1949	0.0893	0.3928	-0.9118	-0.3224	0.4138	-0.0938	0.7611	-0.8640	0.9545	-0.6406	-0.3158	0.6752
TCGA-GN-A4U9-06	-1.0257	-1.4472	1.3505	-0.9967	-1.0679	-0.5985	1.5354	-0.4764	0.7633	-0.2760	1.2588	1.1040	-0.5984	1.3090	-1.0079
TCGA-EB-A5UL-06	-0.3095	0.2030	-0.1765	-0.7533	-1.1605	-0.1116	1.0389	-0.8446	-0.0368	0.6478	-0.2920	-0.1714	-1.3088	0.1033	3.5942
TCGA-BF-A5EO-01	1.5675	0.0118	-1.3981	1.4624	4.8333	2.8680	0.3578	-1.6834	-1.2368	-1.6415	-1.1264	-2.0172	-0.4813	-1.4157	1.3278
TCGA-D9-A1X3-06	0.5419	2.1472	0.3257	0.3999	0.2472	-0.6504	0.4170	2.0386	0.3996	0.1735	1.0987	-1.5131	-0.0080	-0.0637	0.5571
TCGA-DA-A1I8-06	0.2476	3.1692	-0.7357	-0.6562	1.0766	-1.1481	1.5273	1.3040	0.3875	0.9247	-0.4996	-1.0941	1.0057	-0.0131	0.7642
TCGA-DA-A1HW-06	-0.0877	-0.5614	0.7353	-0.1690	-1.2131	-0.0561	0.1805	-0.8794	-0.2362	2.6635	2.0361	-1.2241	-1.4613	0.6599	1.2345
TCGA-EE-A2GH-06	-1.1054	-0.3010	-0.0471	-0.9005	-0.7428	0.1441	-1.4502	-0.7531	0.5471	1.2098	-0.4358	-0.1942	-1.0083	-1.1292	0.3000
TCGA-D3-A3BZ-06	-0.5892	-0.7752	-1.0466	-0.4919	0.4177	0.0626	0.0410	-1.1034	-1.0195	-1.0838	-0.5054	-0.4339	-1.2753	-0.0925	-0.1639
TCGA-D3-A8GE-06	-0.8066	0.8344	-0.7826	-0.7120	2.0332	-0.9839	-0.8792	0.4438	0.9565	0.3575	-1.1788	0.3829	2.7817	-1.2120	-1.7179
TCGA-D3-A3CE-06	-0.5855	-0.4012	1.1222	-0.0571	-0.1712	-0.1801	0.3467	-0.7942	0.2872	-0.4773	0.8836	0.3805	0.5114	-0.3879	0.6579
TCGA-FR-A3YO-06	1.6301	-1.5281	-0.4114	1.5005	1.6645	0.9346	0.4242	-2.0298	-1.6240	-2.1722	-0.9679	-1.9759	-0.2349	-1.3440	1.4316
TCGA-DA-A95Z-06	0.0462	-0.3918	0.3665	-0.8771	0.4382	0.2995	-0.9383	-0.9182	-0.2875	-0.7098	0.4074	-0.1491	-0.2108	-1.0049	2.5553
TCGA-GN-A8LK-06	1.2929	-0.7654	-1.4410	0.2451	0.0323	0.2551	-0.6316	-1.3458	-1.7830	-1.6631	-1.3370	-1.0056	-1.3429	-0.2143	0.9891
TCGA-FR-A729-06	-1.2506	-0.8208	0.3678	-0.1276	-1.2431	0.2619	2.1153	0.2339	1.5981	-0.1941	0.6459	-0.4353	-0.9309	-0.4015	0.3998
TCGA-IH-A3EA-01	0.9533	-1.1563	-1.3330	0.2642	1.7790	0.1958	-1.8146	-1.9073	-1.2683	-1.0097	-0.8936	-2.0958	-1.3602	-0.2157	3.3434
TCGA-FR-A8YD-06	0.8632	-1.2833	-1.6242	0.3566	0.3389	2.4846	-0.6225	-1.3413	-1.8280	-1.6495	-0.6011	-1.0216	0.0198	-0.8470	16.4195
TCGA-D3-A3CC-06	0.7430	1.7023	0.2767	-0.7158	0.3306	0.2728	-0.1861	-0.6776	0.6989	0.5800	0.8958	-0.3778	0.6706	2.2763	0.4477
TCGA-ER-A2ND-06	-0.7485	-1.3607	-1.0851	-1.2692	-1.1745	-1.2727	-2.2140	0.6850	0.4493	-0.8990	-2.0497	-0.8161	-0.7985	-1.7430	-1.0230
TCGA-GF-A4EO-06	-1.0937	-0.4010	-1.0523	-0.3837	-0.2239	-1.2855	-0.8186	0.3572	0.3820	0.9759	-0.9057	-0.1977	0.0645	-0.8422	-1.0132
TCGA-D9-A3Z4-01	-0.0901	-0.3616	3.4189	-1.2463	-1.0391	-0.9379	1.3864	-0.3663	1.8534	0.6288	2.9328	1.0236	0.5129	-0.2046	0.0017
TCGA-EE-A2GN-06	0.3142	-0.3282	1.1955	-0.2031	-0.6353	0.0866	1.2303	1.7297	-0.1624	-0.3169	0.8769	0.0547	1.3318	2.1498	1.8327
TCGA-EE-A17X-06	2.3046	-0.7787	2.0777	3.2649	0.9598	2.0055	-0.3356	-0.8638	-1.0848	0.2257	0.8493	-0.7264	0.0201	0.1406	0.5392
TCGA-D3-A1QB-06	-0.2337	-1.0857	-0.0308	0.1660	-0.6772	-0.3017	-0.5896	-0.3385	-0.1886	-0.0946	4.7988	-1.0488	-0.1887	0.7155	-0.3227
TCGA-EE-A29D-06	-0.2614	1.5583	-0.4418	-0.1049	2.5958	0.7879	-0.6559	-0.5969	0.3463	-2.0703	0.5096	-0.8497	-0.3081	-0.8868	-0.1534
TCGA-FW-A3I3-06	-0.0862	-1.6103	0.5496	-0.9239	-0.9150	-0.1441	0.5018	-0.9124	-0.6585	3.6241	1.6345	0.0487	-0.3269	0.8535	0.9639
TCGA-EE-A29E-06	-0.7032	0.0971	-1.1356	-0.2272	-1.4570	0.3216	-0.3093	-0.2402	-1.0779	0.5625	1.1102	0.1209	-1.2423	0.0412	-0.4393
TCGA-EE-A3J8-06	-1.6421	0.7013	1.3996	-0.4756	-1.7616	-1.3367	4.8014	4.1299	1.9523	4.4934	2.3067	-1.3719	-0.6806	3.7549	0.8705
TCGA-ER-A1A1-06	-1.0459	-0.4284	-0.0797	-0.6612	-0.2929	-0.4442	-0.5010	0.9287	1.7799	-0.5995	0.1932	1.4483	0.2908	-0.0212	0.0388
TCGA-EB-A97M-01	0.5207	1.1624	-0.4073	-0.4225	-0.0620	1.3060	0.0971	-1.2544	-1.0888	-0.9074	0.5567	-1.5311	-0.8601	-0.0161	1.3712
TCGA-BF-A5EP-01	0.0940	1.5314	-1.1636	1.1929	-0.3235	0.8386	0.7956	0.1463	-1.6734	0.3575	0.7891	-1.6064	-0.7269	0.5062	5.6989
TCGA-ER-A19T-06	-0.4883	-1.3918	-1.7694	-0.7461	1.5698	-0.9336	-0.7636	-1.6790	-1.8155	-1.4501	3.3042	-0.9836	1.2984	-1.2177	7.7480
TCGA-D3-A3C7-06	-0.2137	0.7662	-2.1006	-1.4298	-0.7438	-0.9430	0.9824	-1.0381	-1.4500	-0.3706	-1.1639	-0.6181	-0.0216	-0.9746	0.2025
TCGA-ER-A19T-01	0.8910	-1.9192	-0.6950	-1.2569	-0.7980	-1.6919	-1.1629	-0.0273	-1.7912	-0.2798	8.5603	-1.3094	0.9018	-0.8559	-1.4437
TCGA-D3-A2J7-06	-0.8358	2.0830	-1.4304	0.0281	0.5694	-0.3101	0.2592	0.8779	-1.6108	-1.0585	0.2442	-1.4018	-0.6832	0.0837	0.4999
TCGA-DA-A1I4-06	0.0997	0.1495	-1.5299	-0.0869	-0.3743	-0.4238	-0.6358	-0.3658	-1.3190	-0.6203	-0.0685	-0.9944	-1.2520	0.1507	0.4718
TCGA-EE-A2MD-06	0.4485	0.8088	1.5043	-0.5323	-0.6798	-0.5185	0.4785	1.3095	0.4707	2.1342	2.1140	0.4359	-1.3130	1.7106	1.1801
TCGA-EE-A2M5-06	-0.3697	-0.9995	-0.4408	-0.2661	0.7758	3.1365	-1.1283	0.2181	1.1247	-0.4929	0.3189	-0.1426	0.0057	0.7678	0.6527
TCGA-Z2-AA3V-06	2.2417	-1.5597	-2.1180	0.5877	2.8684	4.5026	-2.1725	-1.8228	-1.8115	-1.8137	-0.9930	-1.9661	-0.7908	-1.5849	0.7555
TCGA-EB-A4OY-01	2.6522	-1.0875	-2.5300	-0.3202	-1.0610	2.2371	-1.8075	-2.1867	-2.5929	-1.7578	-1.3404	-1.6703	-1.7322	-1.2752	5.1500
TCGA-EB-A44P-01	-0.2642	0.5453	0.4456	-0.6992	0.6097	-0.0661	1.2481	-0.2192	1.2610	0.5010	-0.8572	0.7054	-0.3927	0.8770	-1.0764
TCGA-EE-A29N-06	-0.4042	1.5123	-1.2867	-0.2288	1.4321	0.5167	0.7281	0.4612	-0.6814	-0.1951	0.6993	-1.0008	0.5333	0.2034	2.0232
